Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Unnamed: 0,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK,fl_pts,opp_pts,pt_diff,minutes,fl_poss,opp_poss,off_rat,def_rat,net_rat,fl_pace,opp_pace,fl_fga,fl_fgm,fl_fgp,fl_2fgp,fl_pfgp,fl_3fgp,fl_2fgr,fl_pfgr,fl_3pfgr,fl_ftr,opp_fga,opp_fgm,opp_fgp,opp_2fgp,opp_pfgp,opp_3fgp,opp_2pfgr,opp_pfgr,opp_3pfgr,opp_ftr,fl_drebr,fl_orebr,opp_drebr,opp_orebr,fl_tor,opp_tor,fl_blkr,opp_blkr
Chris Chiozza,Gorjok Gak,Jalen Hudson,Kevarrius Hayes,Mike Okauru,63,1538,1426,4,2,85,90,84,89,1,3,0,0,1,1,0,0,0,0,0,1,0,2,2,0,0,0,0,1,2,1,0,2,1,0,5,5,0,1.8666666666666667,4.0,3.95,125.0,126.58227848101265,-1.5822784810126507,85.71428571428571,84.64285714285715,4,2,0.5,0.3333333333333333,,1.0,0.75,0.0,0.25,0.0,2,2,1.0,1.0,,,0.5063291139240506,0.0,0.0,0.5063291139240506,0.0,0.0,1.0,0.0,0.0,0.2531645569620253,0.0,0.0
Chris Chiozza,Gorjok Gak,KeVaughn Allen,Keith Stone,Mike Okauru,172,2782,2680,6,2,206,210,186,192,0,0,0,1,1,3,1,2,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,2,1,1,4,6,-2,1.7,2.95,3.0,135.59322033898303,200.0,-64.40677966101697,69.41176470588235,70.58823529411765,4,1,0.25,,0.0,0.3333333333333333,0.0,0.3389830508474576,1.0169491525423728,0.6779661016949152,3,3,1.0,1.0,,,1.0,0.0,0.0,0.0,,0.2857142857142857,0.5714285714285714,,0.0,0.0,0.0,0.3389830508474576
Chris Chiozza,Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,1640,25872,23664,58,21,2260,2322,2342,2396,14,27,0,1,7,24,13,21,8,6,20,28,6,15,24,0,4,3,13,15,21,18,6,30,17,1,62,54,8,36.80000000000001,62.975000000000016,58.97500000000001,98.4517665740373,91.56422212802033,6.88754444601696,68.45108695652173,64.1032608695652,52,21,0.40384615384615385,0.5185185185185185,0.0,0.2916666666666667,0.42874156411274306,0.015879317189360854,0.38110361254466046,0.3334656609765779,41,18,0.43902439024390244,0.625,0.0,0.23076923076923078,0.40695209834675705,0.06782534972445951,0.2204323866044934,0.35608308605341243,0.7692307692307693,0.17142857142857143,0.8571428571428571,0.23076923076923078,0.12703453751488683,0.30521407376006776,0.10173802458668926,0.015879317189360854
Chris Chiozza,Jalen Hudson,KeVaughn Allen,Keith Stone,Mike Okauru,35,46,43,0,1,58,58,68,69,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-1,0.05,0.0,0.475,,210.52631578947367,,0.0,379.99999999999994,0,0,,,,,,,,,0,0,,,,,0.0,0.0,0.0,2.1052631578947367,,,,,,0.0,0.0,
Chris Chiozza,Jalen Hudson,Keith Stone,Kevarrius Hayes,Mike Okauru,309,8011,7796,11,3,383,389,417,417,1,3,0,0,0,2,4,6,1,2,5,2,0,0,1,0,0,0,4,0,0,1,0,4,2,0,6,0,6,3.5833333333333335,6.85,6.0,87.59124087591242,0.0,87.59124087591242,76.46511627906976,66.9767441860465,5,1,0.2,0.3333333333333333,,0.0,0.43795620437956206,0.0,0.29197080291970806,0.8759124087591241,5,0,0.0,0.0,,0.0,0.16666666666666666,0.0,0.6666666666666666,0.0,1.0,0.4,0.8,0.0,0.14598540145985403,0.16666666666666666,0.0,0.0
Chris Chiozza,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Mike Okauru,215,1808,1452,8,4,337,340,338,348,0,2,0,1,0,7,3,4,0,2,3,4,1,5,8,0,1,0,0,0,3,2,4,8,2,1,3,10,-7,5.933333333333333,8.9,7.424999999999999,33.70786516853933,134.6801346801347,-100.97226951159537,60.00000000000001,50.056179775280896,10,0,0.0,0.0,0.0,0.0,0.2247191011235955,0.11235955056179775,0.7865168539325842,0.449438202247191,9,5,0.5555555555555556,0.625,0.0,,1.0774410774410776,0.1346801346801347,0.0,0.4040404040404041,0.5454545454545454,0.19047619047619047,0.7619047619047619,0.7272727272727273,0.0,0.2693602693602694,0.1346801346801347,0.11235955056179775
Deaundrae Ballard,Dontay Bassett,Egor Koulechov,Jalen Hudson,KeVaughn Allen,83,1326,1173,2,0,70,72,72,78,1,3,0,0,0,1,0,0,0,0,2,1,0,3,5,0,0,0,0,0,0,0,0,3,0,0,2,6,-4,2.55,4.0,5.0,50.0,120.0,-70.0,62.74509803921569,78.43137254901961,4,1,0.25,0.3333333333333333,,0.0,0.75,0.0,0.25,0.0,5,3,0.6,0.6,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Deaundrae Ballard,Dontay Bassett,Gorjok Gak,KeVaughn Allen,Mike Okauru,62,154,0,2,0,61,65,36,41,2,2,0,0,0,1,0,0,1,1,2,2,1,0,2,0,1,0,1,5,5,0,1,0,0,0,4,5,-1,2.566666666666667,3.0,4.375,133.33333333333331,114.28571428571428,19.047619047619037,46.75324675324675,68.18181818181817,3,2,0.6666666666666666,1.0,,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,4,0,0.0,0.0,0.0,0.0,0.45714285714285713,0.22857142857142856,0.22857142857142856,1.1428571428571428,0.5,1.0,0.0,0.25,0.3333333333333333,0.0,0.22857142857142856,0.0
Deaundrae Ballard,Dontay Bassett,Jalen Hudson,KeVaughn Allen,Mike Okauru,61,177,154,1,0,61,61,36,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.38333333333333336,1.0,0.0,0.0,,,104.34782608695653,0.0,1,0,0.0,,,0.0,0.0,0.0,1.0,0.0,0,0,,,,,,,,,,0.0,1.0,,0.0,,,0.0
Deaundrae Ballard,Dontay Bassett,Jalen Hudson,Keith Stone,Mike Okauru,37,26,0,1,1,60,60,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43333333333333335,0.0,0.0,,,,0.0,0.0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,
Deaundrae Ballard,Dontay Bassett,KeVaughn Allen,Keith Stone,Mike Okauru,145,4280,4082,5,4,377,386,262,266,2,4,0,0,1,1,2,2,0,1,1,2,0,1,2,0,0,0,1,2,2,2,1,1,2,0,9,4,5,3.3,4.95,4.95,181.8181818181818,80.8080808080808,101.01010101010101,60.00000000000001,60.00000000000001,5,3,0.6,0.5,,1.0,0.8080808080808081,0.0,0.20202020202020202,0.40404040404040403,3,1,0.3333333333333333,0.5,,0.0,0.40404040404040403,0.0,0.20202020202020202,0.40404040404040403,0.5,0.5,0.5,0.5,0.0,0.40404040404040403,0.0,0.0
Deaundrae Ballard,Egor Koulechov,Gorjok Gak,Jalen Hudson,KeVaughn Allen,46,6557,6346,8,3,126,133,88,93,2,2,0,0,1,5,0,0,1,0,4,1,0,1,3,0,0,1,3,0,0,2,0,4,2,0,7,5,2,3.5166666666666666,8.0,8.0,87.5,62.5,25.0,90.99526066350711,90.99526066350711,7,3,0.42857142857142855,1.0,,0.2,0.25,0.0,0.625,0.0,6,2,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.375,0.0,0.375,0.0,1.0,0.0,1.0,0.0,0.125,0.25,0.0,0.0
Deaundrae Ballard,Egor Koulechov,Gorjok Gak,Jalen Hudson,Mike Okauru,17,384,290,1,0,22,24,18,20,1,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,2,0,0,0,1,2,0,0,2,2,0,1.5666666666666667,2.475,2.0,80.8080808080808,100.0,-19.191919191919197,63.191489361702125,51.06382978723404,2,1,0.5,0.5,,,0.8080808080808081,0.0,0.0,0.40404040404040403,3,1,0.3333333333333333,1.0,,0.0,0.5,0.0,1.0,0.0,0.5,0.0,1.3333333333333333,0.5,0.0,0.0,0.0,0.0
Deaundrae Ballard,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Keith Stone,30,1197,1068,3,2,69,73,58,68,1,1,0,0,0,2,2,2,0,0,1,2,0,0,0,0,0,3,3,1,2,0,0,2,1,0,4,10,-6,2.15,3.95,3.95,101.26582278481011,253.1645569620253,-151.8987341772152,73.48837209302326,73.48837209302326,3,1,0.3333333333333333,1.0,,0.0,0.2531645569620253,0.0,0.5063291139240506,0.5063291139240506,3,3,1.0,,,1.0,0.0,0.0,0.7594936708860759,0.5063291139240506,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Deaundrae Ballard,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Mike Okauru,64,3192,3011,5,5,68,73,50,52,1,4,0,0,0,2,3,4,1,3,2,0,0,1,2,0,0,0,1,0,0,1,0,2,3,1,5,2,3,3.0166666666666666,5.9,4.0,84.7457627118644,50.0,34.7457627118644,78.23204419889504,53.03867403314917,6,1,0.16666666666666666,0.25,,0.0,0.6779661016949152,0.0,0.3389830508474576,0.6779661016949152,3,1,0.3333333333333333,0.5,,0.0,0.5,0.0,0.25,0.0,1.0,0.5454545454545454,0.36363636363636365,0.0,0.1694915254237288,0.25,0.0,0.1694915254237288
Deaundrae Ballard,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,233,4511,4084,12,4,291,303,250,266,1,12,0,0,1,3,7,11,0,7,2,2,0,3,7,0,0,2,2,4,5,4,2,8,5,0,12,16,-4,7.116666666666668,13.225,13.375,90.73724007561437,119.62616822429905,-28.888928148684684,74.33255269320841,75.17564402810302,15,2,0.13333333333333333,0.08333333333333333,,0.3333333333333333,0.9073724007561437,0.0,0.22684310018903592,0.8317580340264651,9,5,0.5555555555555556,0.42857142857142855,,1.0,0.5233644859813084,0.0,0.14953271028037382,0.37383177570093457,0.4444444444444444,0.4666666666666667,0.5333333333333333,0.4444444444444444,0.0,0.29906542056074764,0.0,0.0
